version;site;sub;file;tr_seconds;pixel_size;volumes;image_size
ABIDE1;Caltech;sub-0051456;ABIDE1/raw/BIDS/Caltech/sub-0051456/func/sub-0051456_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051457;ABIDE1/raw/BIDS/Caltech/sub-0051457/func/sub-0051457_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051458;ABIDE1/raw/BIDS/Caltech/sub-0051458/func/sub-0051458_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051459;ABIDE1/raw/BIDS/Caltech/sub-0051459/func/sub-0051459_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051460;ABIDE1/raw/BIDS/Caltech/sub-0051460/func/sub-0051460_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051461;ABIDE1/raw/BIDS/Caltech/sub-0051461/func/sub-0051461_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 4.299999713897705 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051462;ABIDE1/raw/BIDS/Caltech/sub-0051462/func/sub-0051462_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051463;ABIDE1/raw/BIDS/Caltech/sub-0051463/func/sub-0051463_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051464;ABIDE1/raw/BIDS/Caltech/sub-0051464/func/sub-0051464_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051465;ABIDE1/raw/BIDS/Caltech/sub-0051465/func/sub-0051465_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.799999952316284 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051466;ABIDE1/raw/BIDS/Caltech/sub-0051466/func/sub-0051466_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051467;ABIDE1/raw/BIDS/Caltech/sub-0051467/func/sub-0051467_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
ABIDE1;Caltech;sub-0051468;ABIDE1/raw/BIDS/Caltech/sub-0051468/func/sub-0051468_task-rest_run-1_bold.nii.gz;2.0;3.5 x 3.5 x 3.5 mm;150;64 x 64 x 34
